,START TIME YEAR,START TIME MONTH,TRIP DURATION
0,2013,10,15.505882352941175
1,2013,11,13.036997991967873
2,2013,12,11.55466360856269
3,2014,1,12.590677966101694
4,2014,2,11.084990791896868
5,2014,3,22.120494699646635
6,2014,4,19.03811848958333
7,2014,5,17.04393290506779
8,2014,6,18.928824476650533
9,2014,7,18.67584422657954
10,2014,8,18.465156092648545
11,2014,9,14.261606837606827
12,2014,10,13.947619047619062
13,2014,11,11.330942334739804
14,2014,12,10.322543617998162
15,2015,1,14.211838006230519
16,2015,2,11.476604554865427
17,2015,3,12.686673553719002
18,2015,4,15.647315855181008
19,2015,5,14.880914750957865
20,2015,6,19.731146572104013
21,2015,7,19.747403748733564
22,2015,8,17.68441832429175
23,2015,9,13.904514265077648
24,2015,10,13.487454212454224
25,2015,11,11.827853881278529
26,2015,12,13.90550807217475
27,2016,1,10.319865319865315
28,2016,2,10.104702048417126
29,2016,3,16.589016018306623
30,2016,4,18.74965012722647
31,2016,5,16.58414758269719
32,2016,6,20.387643998513543
33,2016,7,18.13986547085203
34,2016,8,13.804431216931238
35,2016,9,13.831996855345906
36,2016,10,13.643465674110848
37,2016,11,10.174870912220316
38,2016,12,9.473894282632155
