,START TIME YEAR,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles
AGE_GROUP,,19 - 29,30 - 39,40 - 49,50 - 65,65+
,,,,,,
0,2015,140.6813053890558,360.33823882460734,164.54464835303443,151.28929117739457,5.69729533466182
1,2016,353.76556402976877,410.53451536673515,274.00728294946117,124.45426097662222,15.394575738590172
