,START TIME YEAR,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles
AGE_GROUP,,0 - 18,19 - 29,30 - 39,40 - 49,50 - 65
,,,,,,
0,2015,3.7295346739725828,258.80195907076273,892.2500235321218,173.9234945973004,34.45398777819596
1,2016,2.5353581111710506,433.8159010336388,969.0506507459913,588.3027947154399,126.11552908876551
