,START TIME YEAR,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles
AGE_GROUP,,0 - 18,19 - 29,30 - 39,40 - 49,50 - 65,65+
,,,,,,,
0,2015,,2676.092862693666,1961.5560410748164,954.9161914360055,448.39890219030326,39.96487307699206
1,2016,3.528724991805673,2626.393476119473,3897.220614371498,1217.4507608268161,711.8351850429814,30.342362927516916
