,START TIME YEAR,START TIME MONTH,DISTANCE_Miles
0,2013,9,1.514517517148482
1,2013,10,1.4191855362148909
2,2013,11,1.292993435355645
3,2013,12,1.3514841299356193
4,2014,1,1.810294789009858
5,2014,2,1.886945628745473
6,2014,3,1.2642968889828878
7,2014,4,1.3442641694073183
8,2014,5,1.3812678200644986
9,2014,6,1.3990202802067289
10,2014,7,1.342320112012396
11,2014,8,1.3292379879193537
12,2014,9,1.2799565593938398
13,2014,10,1.301695931238931
14,2014,11,1.198409266698507
15,2014,12,1.345875389359352
16,2015,1,1.384426074471099
17,2015,2,1.2019511233741973
18,2015,3,1.217653772567296
19,2015,4,1.2617137669935603
20,2015,5,1.2568555387985805
21,2015,6,1.2856174118907289
22,2015,7,1.3368514898660573
23,2015,8,1.2895394389263284
24,2015,9,1.2719620413429757
25,2015,10,1.2216494992141134
26,2015,11,1.1492086653161375
27,2015,12,1.182345122213973
28,2016,1,1.0757803754643316
29,2016,2,1.2040007666357748
30,2016,3,1.2272503155223788
31,2016,4,1.192166234431683
32,2016,5,1.3302559454857035
33,2016,6,1.2848607104595775
34,2016,7,1.1637464487599223
35,2016,8,1.253583667264688
36,2016,9,1.2113634350235127
37,2016,10,1.1114749669769524
38,2016,11,1.1440707696817791
39,2016,12,1.0660669184095881
