,START TIME YEAR,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles
AGE_GROUP,,19 - 29,30 - 39,40 - 49,50 - 65,65+
,,,,,,
0,2015,916.8322481834416,2595.6178713434365,400.8939986577169,128.39128070834454,2.030159208022319
1,2016,1640.7067345467576,4041.0963325402618,858.621960144522,297.6244851797091,0.8044136387049297
