,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2015,5,227
1,2015,6,452
2,2015,7,569
3,2015,8,611
4,2015,9,522
5,2015,10,400
6,2015,11,200
7,2015,12,106
8,2016,1,71
9,2016,2,141
10,2016,3,213
11,2016,4,244
12,2016,5,450
13,2016,6,667
14,2016,7,705
15,2016,8,615
16,2016,9,649
17,2016,10,482
18,2016,11,360
19,2016,12,121
