,START TIME YEAR,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles
AGE_GROUP,,0 - 18,19 - 29,30 - 39,40 - 49,50 - 65,65+
,,,,,,,
0,2013,,378.3210692833796,365.39304658884924,41.54121627165241,14.216653052554598,
1,2014,,1335.3724000643087,917.8245285638532,597.9261766429515,47.66547236011773,1.248197988529901
2,2015,1.3911802989330153,2262.2248137285205,1179.035221349641,641.5444609048845,102.48858375639362,24.011984755029847
3,2016,3.1287087583362574,1639.6927961355825,1752.9500410283397,820.2309063397142,467.5784453534598,85.8556444718237
