,START TIME YEAR,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles
AGE_GROUP,,0 - 18,19 - 29,30 - 39,40 - 49,50 - 65,65+
,,,,,,,
0,2013,,655.4908714484199,869.8143196576724,307.0556237159911,222.06908932091144,7.363941708633751
1,2014,0.6758564293481253,2417.473814903346,2528.6339953714005,1001.7750320256599,882.0116915818188,42.28673124078923
2,2015,2.8873743784025643,3277.624409337782,2343.062458402504,1295.31246909149,1024.7717371541128,77.20546924771759
3,2016,8.846460155519438,4334.310488792377,3386.7944901972105,1343.793161259105,1201.3732006861026,62.72458449080309
