,START TIME YEAR,START TIME MONTH,DISTANCE_Miles
0,2013,9,1.0364643261233533
1,2013,10,1.0270571953064047
2,2013,11,0.947060867638735
3,2013,12,0.9741196446705965
4,2014,1,0.8096084387327671
5,2014,2,0.7948994982754245
6,2014,3,0.9626006329529175
7,2014,4,0.9760974584211354
8,2014,5,1.0501601009218724
9,2014,6,1.0880513605989743
10,2014,7,1.081600809242683
11,2014,8,1.0101733452325203
12,2014,9,1.0843574730432697
13,2014,10,1.0589695358962474
14,2014,11,1.0403407891632135
15,2014,12,0.9978943183149518
16,2015,1,0.9538283396572768
17,2015,2,0.9503847459192039
18,2015,3,1.0273314914201856
19,2015,4,1.0795996387652365
20,2015,5,1.0451920333956166
21,2015,6,1.0394498115318664
22,2015,7,1.0077393516907025
23,2015,8,0.9877607487691442
24,2015,9,0.9756039076536444
25,2015,10,0.9953659569169556
26,2015,11,0.9779188562210958
27,2015,12,0.961220066852659
28,2016,1,0.9155937529720451
29,2016,2,0.9053101808690049
30,2016,3,0.9770512149978171
31,2016,4,1.0866090062879792
32,2016,5,1.105472727784055
33,2016,6,1.1297971022158815
34,2016,7,1.0242461883212852
35,2016,8,1.0133066678288238
36,2016,9,1.02360610470953
37,2016,10,1.0296823463062226
38,2016,11,0.9961664039477597
39,2016,12,0.9003807220144687
