,START TIME YEAR,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles
AGE_GROUP,,0 - 18,19 - 29,30 - 39,40 - 49,50 - 65,65+
,,,,,,,
0,2013,,1083.3481314686444,842.7787467371427,490.9964466188509,320.13118904682796,70.48555873186226
1,2014,,4781.01136910441,3897.19759150265,2376.910405430663,1875.252290737573,141.26064610579073
2,2015,109.19348865926214,5136.915939419618,4770.319287685836,3306.9665852978274,2156.400536918865,585.1144658441145
3,2016,28.838709880429434,6385.532924586485,5961.652639708808,2316.055011092523,2057.135240864845,1542.6821313488065
