,START TIME YEAR,START TIME MONTH,TRIP DURATION
0,2013,6,44.49649122807016
1,2013,7,37.07005374849418
2,2013,8,32.104646596858565
3,2013,9,28.564865637507165
4,2013,10,23.516176470588288
5,2013,11,25.122236286919836
6,2013,12,17.77040498442368
7,2014,1,14.362500000000002
8,2014,2,13.025757575757575
9,2014,3,22.12381818181819
10,2014,4,27.053548049227526
11,2014,5,26.100629643621712
12,2014,6,25.236096924299147
13,2014,7,25.586835016835025
14,2014,8,25.02719829519966
15,2014,9,23.9539397689769
16,2014,10,23.6712858926342
17,2014,11,17.89950495049505
18,2014,12,14.508649789029532
19,2015,1,16.64867424242424
20,2015,2,12.805729166666666
21,2015,3,24.125160697887964
22,2015,4,27.897133757961832
23,2015,5,28.23776081424939
24,2015,6,26.585866425992794
25,2015,7,25.651639487988763
26,2015,8,25.96655618163742
27,2015,9,26.154272230501746
28,2015,10,24.525081772227207
29,2015,11,22.85682308522116
30,2015,12,17.012076271186434
31,2016,1,14.333333333333341
32,2016,2,23.946472392638047
33,2016,3,27.35273972602741
34,2016,4,27.657470312068494
35,2016,5,26.036350639578643
36,2016,6,28.352715295629814
37,2016,7,26.811422050213345
38,2016,8,27.08241660300486
39,2016,9,25.8894606588155
40,2016,10,25.415761028337723
41,2016,11,25.31437074829931
42,2016,12,13.94659090909091
