,START TIME YEAR,START TIME MONTH,TRIP DURATION
0,2013,9,15.0712441314554
1,2013,10,15.637814569536413
2,2013,11,10.578882484790272
3,2013,12,12.13954703832751
4,2014,1,10.375987361769354
5,2014,2,10.436557971014492
6,2014,3,11.623753561253547
7,2014,4,13.256430096051224
8,2014,5,16.1730090605627
9,2014,6,15.14031007751935
10,2014,7,14.22894856415851
11,2014,8,14.537501136260342
12,2014,9,14.101176552492348
13,2014,10,13.691674636064223
14,2014,11,13.333887861983982
15,2014,12,11.075074738415543
16,2015,1,12.132975093824639
17,2015,2,12.89893162393162
18,2015,3,13.139269240106815
19,2015,4,13.556456876456885
20,2015,5,14.36816720257235
21,2015,6,14.476222931167811
22,2015,7,13.940377837882158
23,2015,8,13.309716312056768
24,2015,9,13.433489190548014
25,2015,10,12.22442500809849
26,2015,11,11.868902053712462
27,2015,12,11.641540880503177
28,2016,1,9.93448717948718
29,2016,2,10.9970144752714
30,2016,3,11.658791066095326
31,2016,4,12.165670877432591
32,2016,5,13.439854249479477
33,2016,6,13.58849828515433
34,2016,7,14.317578947368432
35,2016,8,12.618883666274956
36,2016,9,13.053436923887276
37,2016,10,11.99170729230146
38,2016,11,11.195897853844054
39,2016,12,10.20367189444861
