,START TIME YEAR,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles
AGE_GROUP,,30 - 39,40 - 49,50 - 65
,,,,
0,2016,13.171276659102102,3.1538362067256465,6.35942385163074
