,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,6,125
1,2013,7,1353
2,2013,8,2195
3,2013,9,2500
4,2013,10,2150
5,2013,11,1172
6,2013,12,636
7,2014,1,352
8,2014,2,392
9,2014,3,882
10,2014,4,1901
11,2014,5,2658
12,2014,6,3203
13,2014,7,3611
14,2014,8,3538
15,2014,9,3431
16,2014,10,3064
17,2014,11,1578
18,2014,12,1239
19,2015,1,1011
20,2015,2,630
21,2015,3,1681
22,2015,4,2360
23,2015,5,2871
24,2015,6,3491
25,2015,7,4397
26,2015,8,4171
27,2015,9,3593
28,2015,10,3467
29,2015,11,2217
30,2015,12,1403
31,2016,1,1190
32,2016,2,1418
33,2016,3,2026
34,2016,4,2142
35,2016,5,2961
36,2016,6,3791
37,2016,7,3734
38,2016,8,3716
39,2016,9,3271
40,2016,10,2830
41,2016,11,1929
42,2016,12,933
