,START TIME YEAR,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles
AGE_GROUP,,19 - 29,30 - 39,40 - 49,50 - 65
,,,,,
0,2015,657.1796050919066,552.0591984469128,82.76997364093776,45.295267912697554
1,2016,1189.1065628489364,1132.578375575841,211.0120338119197,91.41295085763085
