,START TIME YEAR,START TIME MONTH,TRIP DURATION
0,2015,7,25.18472998137802
1,2015,8,18.9754816955684
2,2015,9,22.53720538720536
3,2015,10,18.421259842519685
4,2015,11,17.507801418439705
5,2015,12,16.214583333333334
6,2016,1,14.70593220338983
7,2016,2,15.55102564102564
8,2016,3,15.840986394557818
9,2016,4,22.05029761904762
10,2016,5,18.320599999999995
11,2016,6,20.768139534883726
12,2016,7,18.573587223587225
13,2016,8,17.71555555555555
14,2016,9,18.041570881226043
15,2016,10,15.525879043600552
16,2016,11,16.34260752688171
17,2016,12,15.909302325581395
