,START TIME YEAR,START TIME MONTH,TRIP DURATION
0,2013,8,28.26669745958432
1,2013,9,22.946599777034546
2,2013,10,19.18563218390802
3,2013,11,15.422621681415919
4,2013,12,13.687175493250258
5,2014,1,12.617537313432843
6,2014,2,10.54629629629629
7,2014,3,14.7077942082563
8,2014,4,18.001889799635702
9,2014,5,20.221967252300693
10,2014,6,18.498113298591022
11,2014,7,18.188930041152247
12,2014,8,17.723644140962264
13,2014,9,16.331628968886022
14,2014,10,15.859575494452493
15,2014,11,12.522168127231422
16,2014,12,13.10595944609299
17,2015,1,14.01978939724038
18,2015,2,13.572245467224548
19,2015,3,15.285378323108382
20,2015,4,15.440349965349961
21,2015,5,17.778000342407115
22,2015,6,18.3532860679721
23,2015,7,18.756098249576453
24,2015,8,17.741364626658722
25,2015,9,17.451168014375597
26,2015,10,16.21407774630157
27,2015,11,16.100505780346797
28,2015,12,12.166282473472378
29,2016,1,12.356328125000008
30,2016,2,13.980859375
31,2016,3,14.651323608860086
32,2016,4,17.941417748917754
33,2016,5,18.226048375554605
34,2016,6,18.367688442211037
35,2016,7,17.627311689703202
36,2016,8,18.703637115106382
37,2016,9,16.81581849024601
38,2016,10,16.762162731871832
39,2016,11,15.57876712328767
40,2016,12,14.182824427480913
