,START TIME YEAR,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles
AGE_GROUP,,0 - 18,19 - 29,30 - 39,40 - 49,50 - 65,65+
,,,,,,,
0,2015,71.31789796425339,1966.4053323203862,314.06068299515255,112.67500645119661,84.71501517503545,86.15846635172278
1,2016,,3116.841647893708,732.7233435032653,123.30137587527814,104.20253030945106,93.87561215392736
