,START TIME YEAR,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles
AGE_GROUP,,0 - 18,19 - 29,30 - 39,40 - 49,50 - 65,65+
,,,,,,,
0,2015,5.3544025809631375,4634.405048199532,5418.448048742531,1035.5281781565373,2006.9063678665577,124.15204991615006
1,2016,40.42140362557634,6583.692402918616,6086.241983876921,1484.1423609381495,1752.3970841280022,139.23743775876497
