,START TIME YEAR,START TIME MONTH,TRIP DURATION
0,2013,6,32.08333333333335
1,2013,7,35.09188405797103
2,2013,8,83.76666666666667
3,2013,9,20.633333333333333
4,2013,10,22.26575591985428
5,2013,11,13.811488888888885
6,2013,12,12.427298050139273
7,2014,1,10.269004524886874
8,2014,2,17.370653907496013
9,2014,3,13.720679012345675
10,2014,4,16.274925972927235
11,2014,5,19.053595380029762
12,2014,6,16.944388001935124
13,2014,7,16.792109305521862
14,2014,8,16.067179365830555
15,2014,9,14.308475130890052
16,2014,10,13.1150646430579
17,2014,11,11.1161300214658
18,2014,12,13.21827687160185
19,2015,1,13.881113256113254
20,2015,2,12.852432712215322
21,2015,3,14.327197719771982
22,2015,4,14.63385594830865
23,2015,5,16.87991747835497
24,2015,6,16.118645894571824
25,2015,7,17.19769438029256
26,2015,8,15.159147305199896
27,2015,9,15.203781235266403
28,2015,10,14.190254137115849
29,2015,11,14.306609703398145
30,2015,12,11.424595803233586
31,2016,1,10.794532627865957
32,2016,2,14.376730265619154
33,2016,3,16.44148805124417
34,2016,4,16.46016620498617
35,2016,5,17.148313021891177
36,2016,6,16.370679718620224
37,2016,7,16.11273715872282
38,2016,8,14.765888744024332
39,2016,9,14.808853873569705
40,2016,10,14.194535886238974
41,2016,11,13.394162786687353
42,2016,12,10.253783382789317
