,START TIME YEAR,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles
AGE_GROUP,,0 - 18,19 - 29,30 - 39,40 - 49,50 - 65,65+
,,,,,,,
0,2013,30.181958054492622,3723.846737589425,5591.699483291875,4604.189229072685,2998.1686914669167,29.068528241200728
1,2014,14.028409148684498,9573.223875428503,12185.771909592519,8455.895901559945,6179.6284017029075,51.14834607326235
2,2015,111.73520560495358,10150.202510224259,17750.731709636537,9023.91041324837,7805.404707078668,426.4331871246147
3,2016,48.12794684932574,14782.120803123467,23191.424913219107,13038.797132272784,10738.237015762139,455.80766679806413
