,START TIME YEAR,START TIME MONTH,DISTANCE_Miles
0,2013,7,1.0786585960391704
1,2013,8,1.054256072190142
2,2013,9,1.0440318412260212
3,2013,10,0.9955184377053927
4,2013,11,0.9101208251555342
5,2013,12,0.7973302551188571
6,2014,1,0.7366717431437656
7,2014,2,0.6954994766217124
8,2014,3,0.8748712037464584
9,2014,4,0.9379355694469846
10,2014,5,0.997251872719302
11,2014,6,1.0622187369706793
12,2014,7,1.05425002612597
13,2014,8,1.0186774207181049
14,2014,9,1.042620739950971
15,2014,10,0.9820150895881311
16,2014,11,0.8664952290056299
17,2014,12,0.7742636983441343
18,2015,1,0.8203664899864149
19,2015,2,0.6811296238452674
20,2015,3,0.9473831543940192
21,2015,4,0.9056144315136191
22,2015,5,1.0211065741369043
23,2015,6,1.0042484614857932
24,2015,7,1.044542032816394
25,2015,8,1.09018958406213
26,2015,9,1.0329713413023935
27,2015,10,1.024833312165755
28,2015,11,0.9466478518891068
29,2015,12,0.9116359239491638
30,2016,1,0.8753658467222732
31,2016,2,0.8489761769123577
32,2016,3,0.9531341845640341
33,2016,4,0.9598308645768403
34,2016,5,1.0554371569909546
35,2016,6,1.0944392244745582
36,2016,7,1.1215384853251393
37,2016,8,1.1338655627160483
38,2016,9,1.0927435730777109
39,2016,10,1.0459120923223666
40,2016,11,1.0218453563400316
41,2016,12,0.9112904318929115
