,START TIME YEAR,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles
AGE_GROUP,,19 - 29,40 - 49,50 - 65
,,,,
0,2016,0.9213296844820473,2.303324211205118,4.188415491497922
