,START TIME YEAR,START TIME MONTH,DISTANCE_Miles
0,2013,6,1.295941225908107
1,2013,7,1.3090605537735214
2,2013,8,1.203678659277034
3,2013,9,1.2398598310875424
4,2013,10,1.1942633868043808
5,2013,11,1.1523067032272483
6,2013,12,1.1562787024944707
7,2014,1,1.1583990821676573
8,2014,2,1.1852650263358022
9,2014,3,1.1486375838522764
10,2014,4,1.1128064775469146
11,2014,5,1.2208706043804776
12,2014,6,1.1906761619341848
13,2014,7,1.180206249060879
14,2014,8,1.1120143882871367
15,2014,9,1.170536985452313
16,2014,10,1.2119200611399963
17,2014,11,1.1726609217615802
18,2014,12,1.080560520832616
19,2015,1,1.134047431943982
20,2015,2,1.176770517876443
21,2015,3,1.2300373206487898
22,2015,4,1.2359524470462306
23,2015,5,1.2166573797567235
24,2015,6,1.1912168620575943
25,2015,7,1.1789765326826651
26,2015,8,1.174435254722145
27,2015,9,1.1956597179719821
28,2015,10,1.1836231419908128
29,2015,11,1.0931673905683854
30,2015,12,1.137762806810455
31,2016,1,1.124602286812516
32,2016,2,1.1373693899711503
33,2016,3,1.1589070953984888
34,2016,4,1.1779894462654918
35,2016,5,1.1612685671400935
36,2016,6,1.2236699582140573
37,2016,7,1.1171759205260854
38,2016,8,1.1283024051287038
39,2016,9,1.1962725370471923
40,2016,10,1.1848479530059246
41,2016,11,1.2538970459677956
42,2016,12,1.0847200852748349
