,START TIME YEAR,START TIME MONTH,DISTANCE_Miles
0,2013,9,1.3898781935898943
1,2013,10,1.3022426941960417
2,2013,11,1.2032064527961503
3,2013,12,0.629321214622587
4,2014,1,0.7724992933772593
5,2014,2,0.7863110426372548
6,2014,3,1.0833027138707123
7,2014,4,0.9687565490735934
8,2014,5,1.0853415085943032
9,2014,6,1.2481201123532537
10,2014,7,1.170945979519878
11,2014,8,1.1945012729082973
12,2014,9,1.2316027566296142
13,2014,10,1.0936181357358097
14,2014,11,0.9343476059333673
15,2014,12,1.0741289315018436
16,2015,1,0.9160365172006836
17,2015,2,0.9630783747894136
18,2015,3,1.1157499219020013
19,2015,4,1.2499239581264485
20,2015,5,1.3359497569247296
21,2015,6,1.4408204191480405
22,2015,7,1.4789190192823496
23,2015,8,1.3186396648439964
24,2015,9,1.3408281387670136
25,2015,10,1.2701959335310007
26,2015,11,1.1845407853284602
27,2015,12,1.1698601198665803
28,2016,1,1.1418333145038084
29,2016,2,1.1721084534405004
30,2016,3,1.270055755074164
31,2016,4,1.4534171491949097
32,2016,5,1.388125725928497
33,2016,6,1.331470074526349
34,2016,7,1.4338672513603672
35,2016,8,1.349300793460253
36,2016,9,1.345419829868177
37,2016,10,1.373465633459417
38,2016,11,1.5041869587682206
39,2016,12,1.0925820315908277
