,START TIME YEAR,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles
AGE_GROUP,,30 - 39,40 - 49,50 - 65
,,,,
0,2016,32.504109523824226,18.321248684533362,7.72410024059688
