,START TIME YEAR,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles
AGE_GROUP,,19 - 29,30 - 39,40 - 49,50 - 65
,,,,,
0,2015,197.98427165200724,105.10897478789292,73.9335926245154,33.6938012893601
1,2016,445.312793239384,139.53227368413232,117.65278238022049,49.58842311057428
