,START TIME YEAR,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles
AGE_GROUP,,0 - 18,19 - 29,30 - 39,40 - 49,50 - 65,65+
,,,,,,,
0,2013,,1370.6380959419312,1719.0314707004732,730.1143678587117,471.66054138215105,24.98898932983604
1,2014,,3947.97066699511,5040.438144566939,2085.4673490522127,1520.8197489849063,19.863833564925212
2,2015,7.931505146231713,4529.689897164685,5368.5210467838415,2848.707775707481,2273.077450595212,38.62322070860089
3,2016,2.6868166816074166,5041.3750396108,6372.656681889601,2742.5563641058507,2327.33473191032,130.53465163984478
