,START TIME YEAR,START TIME MONTH,DISTANCE_Miles
0,2015,5,1.241524806385849
1,2015,6,1.2934392400795647
2,2015,7,1.2360130107998004
3,2015,8,1.226556353695684
4,2015,9,1.279788533599003
5,2015,10,1.264452894366282
6,2015,11,1.2818529313977833
7,2015,12,1.1302502361898834
8,2016,1,1.2203104023656204
9,2016,2,1.211055866209481
10,2016,3,1.1692447319551953
11,2016,4,1.2692246668029197
12,2016,5,1.2002329056440344
13,2016,6,1.2564376273767384
14,2016,7,1.1842978222871647
15,2016,8,1.1959105559982612
16,2016,9,1.2127944316078907
17,2016,10,1.1961168654813377
18,2016,11,1.2570964320816682
19,2016,12,1.056152109871141
