,START TIME YEAR,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles
AGE_GROUP,,19 - 29,30 - 39,40 - 49,50 - 65,65+
,,,,,,
0,2016,133.3037292916518,78.69632046405269,402.26314649468463,14.385098527882494,12.280164014619993
