,START TIME YEAR,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles
AGE_GROUP,,0 - 18,19 - 29,30 - 39
,,,,
0,2016,2.2547927118633053,19.985615975300597,91.16559813934786
