,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,6,4
1,2013,7,511
2,2013,8,747
3,2013,9,2742
4,2013,10,2335
5,2013,11,849
6,2013,12,402
7,2014,1,213
8,2014,2,229
9,2014,3,766
10,2014,4,2422
11,2014,5,4932
12,2014,6,5376
13,2014,7,6774
14,2014,8,6039
15,2014,9,4440
16,2014,10,2922
17,2014,11,1134
18,2014,12,878
19,2015,1,574
20,2015,2,215
21,2015,3,1484
22,2015,4,2487
23,2015,5,4717
24,2015,6,6303
25,2015,7,8255
26,2015,8,6355
27,2015,9,6088
28,2015,10,3521
29,2015,11,2317
30,2015,12,1069
31,2016,1,698
32,2016,2,1220
33,2016,3,1976
34,2016,4,2538
35,2016,5,4879
36,2016,6,6645
37,2016,7,7943
38,2016,8,6873
39,2016,9,5429
40,2016,10,3919
41,2016,11,2703
42,2016,12,875
