,START TIME YEAR,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles
AGE_GROUP,,19 - 29,30 - 39,40 - 49,50 - 65
,,,,,
0,2015,44.087826576667325,18.38649793540828,8.372888268334501,7.203930808964155
1,2016,9.47712991787586,9.612794579546394,6.406060293569272,
