,START TIME YEAR,START TIME MONTH,TRIP DURATION
0,2015,5,20.114153577661423
1,2015,6,21.09944362624778
2,2015,7,20.52290735221061
3,2015,8,16.702825607064042
4,2015,9,18.317414965986394
5,2015,10,15.995914276904093
6,2015,11,13.647584887613597
7,2015,12,11.627764326069396
8,2016,1,12.07765848670757
9,2016,2,12.182021379980561
10,2016,3,13.453141640042606
11,2016,4,20.7341064365336
12,2016,5,18.892211625794694
13,2016,6,18.63264351411358
14,2016,7,18.858839167035875
15,2016,8,17.78219246031744
16,2016,9,18.839926428975634
17,2016,10,18.017884160756484
18,2016,11,15.871096096096124
19,2016,12,12.065079365079372
