,START TIME YEAR,START TIME MONTH,TRIP DURATION
0,2015,4,132.44166666666663
1,2015,5,119.2875
2,2015,6,49.79080459770115
3,2015,7,115.12934782608697
4,2015,8,52.405392156862746
5,2015,9,28.9375
6,2015,10,11.941666666666666
7,2015,11,23.55555555555556
8,2015,12,22.183333333333334
9,2016,1,20.531249999999996
10,2016,2,114.27499999999999
11,2016,3,33.56666666666666
12,2016,4,194.35833333333332
13,2016,5,127.10190476190476
14,2016,6,26.42142857142857
15,2016,7,27.00476190476191
16,2016,8,20.265104166666667
17,2016,9,177.94827586206893
18,2016,10,20.697849462365596
19,2016,11,34.204838709677425
20,2016,12,39.18333333333334
