,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,6,69
1,2013,7,515
2,2013,8,1001
3,2013,9,1122
4,2013,10,472
5,2013,11,344
6,2013,12,126
7,2014,1,52
8,2014,2,64
9,2014,3,207
10,2014,4,508
11,2014,5,1076
12,2014,6,1548
13,2014,7,1869
14,2014,8,1682
15,2014,9,1724
16,2014,10,1325
17,2014,11,619
18,2014,12,433
19,2015,1,306
20,2015,2,134
21,2015,3,534
22,2015,4,889
23,2015,5,1215
24,2015,6,1619
25,2015,7,1808
26,2015,8,1610
27,2015,9,1645
28,2015,10,1221
29,2015,11,771
30,2015,12,406
31,2016,1,359
32,2016,2,474
33,2016,3,658
34,2016,4,800
35,2016,5,1064
36,2016,6,1568
37,2016,7,1823
38,2016,8,1614
39,2016,9,1684
40,2016,10,1242
41,2016,11,963
42,2016,12,354
