,START TIME YEAR,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles
AGE_GROUP,,19 - 29,30 - 39,40 - 49
,,,,
0,2016,10.676574972961312,28.63741740433717,5.970057139303303
