,START TIME YEAR,START TIME MONTH,DISTANCE_Miles
0,2013,6,2.311100314067917
1,2013,7,1.8028633128584104
2,2013,8,1.870090079275845
3,2013,9,2.1137685847114605
4,2013,10,1.9181846761650923
5,2013,11,1.9573608631152113
6,2013,12,1.7963718959780153
7,2014,1,1.2253794659552677
8,2014,2,1.2016440363456524
9,2014,3,1.3462052387763725
10,2014,4,1.4633981073139806
11,2014,5,1.594030060649001
12,2014,6,1.5959203376888365
13,2014,7,1.5698834850581622
14,2014,8,1.5144229621351835
15,2014,9,1.5313709219969038
16,2014,10,1.794319406491391
17,2014,11,1.7037373339116164
18,2014,12,1.7020241870513586
19,2015,1,1.4066074338693844
20,2015,2,1.1423424790191008
21,2015,3,1.4872156744168643
22,2015,4,1.644887607413803
23,2015,5,1.5784513656957464
24,2015,6,1.583041585369167
25,2015,7,1.4731826813211806
26,2015,8,1.526243478476134
27,2015,9,1.5200299351184645
28,2015,10,1.7407563402476744
29,2015,11,1.6850862710302534
30,2015,12,1.6403539813277093
31,2016,1,1.8132611867625374
32,2016,2,1.5921787979642696
33,2016,3,1.5025695771549707
34,2016,4,1.643953294895176
35,2016,5,1.5833578241417872
36,2016,6,1.5595065914013893
37,2016,7,1.3828813271582825
38,2016,8,1.423005409225217
39,2016,9,1.4722523651107002
40,2016,10,1.6058838546710634
41,2016,11,1.650405159041263
42,2016,12,1.3163442497026063
