,START TIME YEAR,START TIME MONTH,DISTANCE_Miles
0,2013,7,6.166799769543272
1,2013,10,0.9583339756198382
2,2013,11,1.0992387558971561
3,2013,12,0.7652320039490496
4,2014,1,0.6908706341914242
5,2014,2,0.8433807481802704
6,2014,3,0.7659452810561742
7,2014,4,0.9934432718117007
8,2014,5,1.0782510164755104
9,2014,6,1.111134011110109
10,2014,7,1.2184295573489101
11,2014,8,1.1377386369496854
12,2014,9,1.1285213706945327
13,2014,10,0.964767213783002
14,2014,11,0.8980351282628876
15,2014,12,0.8282080380098047
16,2015,1,0.7919902468980091
17,2015,2,0.7705622089030754
18,2015,3,1.1134328145585624
19,2015,4,1.0664603451974788
20,2015,5,1.18443923581657
21,2015,6,1.2607160184316961
22,2015,7,1.2305761327306226
23,2015,8,1.3238702452348359
24,2015,9,1.2089587894754703
25,2015,10,1.140229686136149
26,2015,11,1.0366102143563898
27,2015,12,1.0464162925146956
28,2016,1,1.0973094696922565
29,2016,2,1.1791646391481925
30,2016,3,1.2628793737875637
31,2016,4,1.086693891848439
32,2016,5,1.353882556454386
33,2016,6,1.2192254576861994
34,2016,7,1.2055139575801488
35,2016,8,1.2221063525760512
36,2016,9,1.1784854254814676
37,2016,10,1.1742830432908256
38,2016,11,1.1094021424239564
39,2016,12,0.9547253989726093
