,START TIME YEAR,START TIME MONTH,TRIP DURATION
0,2013,6,35.00102564102564
1,2013,7,29.04702458517938
2,2013,8,24.436334927642793
3,2013,9,20.232302748226978
4,2013,10,17.088322862605818
5,2013,11,14.577541860866553
6,2013,12,10.774111334674723
7,2014,1,8.777343392775501
8,2014,2,9.576930654058316
9,2014,3,13.86156289707751
10,2014,4,17.290220213981527
11,2014,5,18.921406863835205
12,2014,6,19.694767851424867
13,2014,7,17.06960082167448
14,2014,8,18.522560518423276
15,2014,9,16.292417328042298
16,2014,10,13.679072561268596
17,2014,11,12.651483911277703
18,2014,12,11.178992106860962
19,2015,1,10.24424765364819
20,2015,2,14.81839965768078
21,2015,3,13.367501331912601
22,2015,4,15.085193007157109
23,2015,5,18.812327567330907
24,2015,6,18.181037977702225
25,2015,7,20.247501482799564
26,2015,8,18.42943211453515
27,2015,9,17.529123853717845
28,2015,10,14.734499034541928
29,2015,11,13.449555410973755
30,2015,12,11.301835798062204
31,2016,1,10.401883399583586
32,2016,2,12.575118638520697
33,2016,3,12.746640363462419
34,2016,4,13.970018856065334
35,2016,5,18.428358902835853
36,2016,6,19.58193497474743
37,2016,7,21.007928249728216
38,2016,8,19.491199475065685
39,2016,9,18.19728965845533
40,2016,10,16.854523020975314
41,2016,11,14.546174298375181
42,2016,12,10.331692789968661
