,START TIME YEAR,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles
AGE_GROUP,,19 - 29,30 - 39,40 - 49
,,,,
0,2016,4.056120516056249,6.489201181930788,5.107192850447975
