,START TIME YEAR,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles
AGE_GROUP,,19 - 29,30 - 39,40 - 49,50 - 65
,,,,,
0,2015,37.05046652813947,14.958746087280876,1.7214430361207327,40.29339966566853
1,2016,58.13978263772954,92.24157016361112,16.85628587666146,66.53036061476645
