,START TIME YEAR,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles
AGE_GROUP,,0 - 18,19 - 29,30 - 39,40 - 49,50 - 65,65+
,,,,,,,
0,2013,,501.08341232020524,362.08986725411285,205.50730714763853,137.73490121462757,23.88065954066022
1,2014,,2506.5354983354487,1934.3740358731595,595.3416476949666,908.1974652649957,48.40406367098651
2,2015,122.76259258642806,3914.039579772465,2619.390538963234,1931.0594097644218,739.750517411753,325.7959712008958
3,2016,10.420353819626577,4386.335361155785,3954.95852623549,1687.5907558579427,1488.9680674802426,1088.4056381915864
