,START TIME YEAR,START TIME MONTH,TRIP DURATION
0,2013,6,26.901473922902493
1,2013,7,32.42002376708256
2,2013,8,21.609892133649023
3,2013,9,17.41075980392157
4,2013,10,14.701921695402296
5,2013,11,11.822733612273375
6,2013,12,9.706770833333326
7,2014,1,8.824143302180685
8,2014,2,8.238095238095237
9,2014,3,11.528255528255526
10,2014,4,15.651036585365873
11,2014,5,16.667456240487038
12,2014,6,15.860835486649442
13,2014,7,15.366139127324749
14,2014,8,14.645324020178524
15,2014,9,15.041433224755657
16,2014,10,13.61130503144653
17,2014,11,10.879375696767001
18,2014,12,8.353430079155673
19,2015,1,9.248155216284987
20,2015,2,9.593380614657208
21,2015,3,12.65023391812866
22,2015,4,13.812707670554968
23,2015,5,15.314803231691418
24,2015,6,15.791845713116434
25,2015,7,17.072779060815996
26,2015,8,15.690995051254845
27,2015,9,13.875746855345914
28,2015,10,11.863959323824613
29,2015,11,12.216709900562048
30,2015,12,9.365501165501167
31,2016,1,10.153078276165354
32,2016,2,10.42151029748284
33,2016,3,12.26899028305873
34,2016,4,13.897452625038815
35,2016,5,14.872325787838447
36,2016,6,14.842308286951166
37,2016,7,14.871147132169577
38,2016,8,13.543371607515663
39,2016,9,13.888371411833642
40,2016,10,12.247071428571388
41,2016,11,12.541223067173647
42,2016,12,12.132852564102562
