,START TIME YEAR,START TIME MONTH,TRIP DURATION
0,2015,4,14.433333333333334
1,2015,5,22.568959435626105
2,2015,6,19.209279141104297
3,2015,7,19.509818114328148
4,2015,8,18.320669745958433
5,2015,9,18.77455489614244
6,2015,10,15.126194310252293
7,2015,11,14.061335784313721
8,2015,12,14.952252252252256
9,2016,1,13.890476190476194
10,2016,2,24.943835616438356
11,2016,3,15.120343137254892
12,2016,4,18.457504363001753
13,2016,5,18.18100303951368
14,2016,6,17.179104938271603
15,2016,7,19.113791554357604
16,2016,8,20.226331360946762
17,2016,9,20.95211202938475
18,2016,10,26.682445355191263
19,2016,11,28.080501089324617
20,2016,12,22.170467836257306
