,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,9,1359
1,2013,10,2870
2,2013,11,1857
3,2013,12,1136
4,2014,1,755
5,2014,2,925
6,2014,3,1655
7,2014,4,2997
8,2014,5,4510
9,2014,6,5506
10,2014,7,6301
11,2014,8,6266
12,2014,9,5673
13,2014,10,5103
14,2014,11,2519
15,2014,12,2133
16,2015,1,1702
17,2015,2,1138
18,2015,3,2291
19,2015,4,2983
20,2015,5,4674
21,2015,6,6085
22,2015,7,6383
23,2015,8,5918
24,2015,9,5769
25,2015,10,5989
26,2015,11,3052
27,2015,12,2096
28,2016,1,1888
29,2016,2,2098
30,2016,3,3118
31,2016,4,3581
32,2016,5,5694
33,2016,6,6949
34,2016,7,6047
35,2016,8,6402
36,2016,9,6075
37,2016,10,5383
38,2016,11,4501
39,2016,12,1958
