,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,9,44
1,2013,10,722
2,2013,11,471
3,2013,12,231
4,2014,1,97
5,2014,2,136
6,2014,3,368
7,2014,4,767
8,2014,5,1434
9,2014,6,1974
10,2014,7,1888
11,2014,8,2092
12,2014,9,1815
13,2014,10,1347
14,2014,11,731
15,2014,12,712
16,2015,1,487
17,2015,2,383
18,2015,3,799
19,2015,4,1080
20,2015,5,1222
21,2015,6,1936
22,2015,7,2323
23,2015,8,2235
24,2015,9,1981
25,2015,10,1673
26,2015,11,1289
27,2015,12,802
28,2016,1,598
29,2016,2,697
30,2016,3,1050
31,2016,4,1444
32,2016,5,2633
33,2016,6,3463
34,2016,7,3176
35,2016,8,3342
36,2016,9,2611
37,2016,10,2425
38,2016,11,1710
39,2016,12,648
