,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2015,5,678
1,2015,6,1347
2,2015,7,1581
3,2015,8,1409
4,2015,9,1074
5,2015,10,734
6,2015,11,393
7,2015,12,235
8,2016,1,203
9,2016,2,323
10,2016,3,433
11,2016,4,608
12,2016,5,802
13,2016,6,1093
14,2016,7,1264
15,2016,8,1187
16,2016,9,1028
17,2016,10,687
18,2016,11,394
19,2016,12,147
