,START TIME YEAR,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles
AGE_GROUP,,19 - 29,30 - 39,40 - 49,50 - 65
,,,,,
0,2015,29.698237236632096,22.77203192973742,9.63683587666127,49.237098776890534
1,2016,20.530621714480183,125.41737238543952,15.16486345437007,28.498453307507194
