,START TIME YEAR,START TIME MONTH,DISTANCE_Miles
0,2013,9,1.504728149678718
1,2013,10,1.4832064387054724
2,2013,11,1.3422912809882075
3,2013,12,1.2057143997098032
4,2014,1,1.113197622578012
5,2014,2,1.1111701725675622
6,2014,3,1.3632569026666446
7,2014,4,1.4028698538291493
8,2014,5,1.355914128349618
9,2014,6,1.427307675670049
10,2014,7,1.444150477007764
11,2014,8,1.4049725288167652
12,2014,9,1.402815422640331
13,2014,10,1.3411166522321152
14,2014,11,1.2161526011220893
15,2014,12,1.1668737001275507
16,2015,1,1.1508855802505928
17,2015,2,1.1218838101222448
18,2015,3,1.2653133282879265
19,2015,4,1.3489031287566469
20,2015,5,1.4106927915788932
21,2015,6,1.3790889197363692
22,2015,7,1.4128541286340286
23,2015,8,1.3762628690348346
24,2015,9,1.3683986711267124
25,2015,10,1.3430811968756013
26,2015,11,1.24954913252306
27,2015,12,1.1924709257636965
28,2016,1,1.2113884213542934
29,2016,2,1.204225115035885
30,2016,3,1.2534423233886332
31,2016,4,1.3158087999560302
32,2016,5,1.3985477715865828
33,2016,6,1.4149137272492758
34,2016,7,1.3469095943305076
35,2016,8,1.3748638194891376
36,2016,9,1.3664629226543423
37,2016,10,1.3454494431382362
38,2016,11,1.3335021082883594
39,2016,12,1.2373968490062583
