,START TIME YEAR,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles
AGE_GROUP,,0 - 18,19 - 29,30 - 39,40 - 49,50 - 65,65+
,,,,,,,
0,2013,,1353.1703174864995,1664.3548950135773,650.419298708982,327.4023568391741,4.142923326408843
1,2014,,1111.2417827304416,768.5426570422237,238.86456169274626,152.4714051414943,95.76035951795984
2,2015,14.98559038331112,957.7959279466484,595.4985174138964,323.3150667278101,104.87149880345412,29.35734462246295
3,2016,28.00683822654857,1626.8231146638095,792.3251689625849,671.1565404423204,345.3716781722816,8.463582859352691
