,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,8,449
1,2013,9,1345
2,2013,10,896
3,2013,11,439
4,2013,12,211
5,2014,1,159
6,2014,2,167
7,2014,3,355
8,2014,4,805
9,2014,5,1479
10,2014,6,1906
11,2014,7,2046
12,2014,8,2129
13,2014,9,1550
14,2014,10,1233
15,2014,11,572
16,2014,12,475
17,2015,1,286
18,2015,2,142
19,2015,3,521
20,2015,4,859
21,2015,5,1669
22,2015,6,2020
23,2015,7,2632
24,2015,8,2474
25,2015,9,1937
26,2015,10,1351
27,2015,11,870
28,2015,12,564
29,2016,1,386
30,2016,2,476
31,2016,3,724
32,2016,4,1143
33,2016,5,1727
34,2016,6,2361
35,2016,7,2366
36,2016,8,2271
37,2016,9,1949
38,2016,10,1697
39,2016,11,1120
40,2016,12,352
