,START TIME YEAR,START TIME MONTH,DISTANCE_Miles
0,2013,6,1.1007054565733079
1,2013,7,1.2304203094284667
2,2013,8,1.161911389758944
3,2013,9,1.0906127166367998
4,2013,10,0.9915439917985914
5,2013,11,0.8404629129774766
6,2013,12,0.7632450149866099
7,2014,1,0.6994163053354759
8,2014,2,0.748784087472395
9,2014,3,0.792255063542137
10,2014,4,0.9191466870588408
11,2014,5,0.9964328137560997
12,2014,6,1.1408870529762525
13,2014,7,1.1164156310338202
14,2014,8,1.1238314021630884
15,2014,9,1.0707924613516047
16,2014,10,0.9387042517894609
17,2014,11,0.7965068199470511
18,2014,12,0.8110683870688881
19,2015,1,0.7647577507370301
20,2015,2,0.7002577313237329
21,2015,3,0.8912446557732351
22,2015,4,0.9482773400152522
23,2015,5,1.0239751147274874
24,2015,6,1.0197977859831302
25,2015,7,1.0355061561055516
26,2015,8,1.0615911937216864
27,2015,9,1.0077201410604413
28,2015,10,0.9465283166715629
29,2015,11,0.8798889247464041
30,2015,12,0.8161339760986775
31,2016,1,0.8056742573646977
32,2016,2,0.8479234364854158
33,2016,3,0.9680379832748841
34,2016,4,0.9321969275169344
35,2016,5,1.049584910689736
36,2016,6,1.090257240736154
37,2016,7,1.0962132138579588
38,2016,8,1.012224521761703
39,2016,9,1.0277926145659377
40,2016,10,1.0120812883139887
41,2016,11,0.9543081217978214
42,2016,12,0.8516279601132728
