,START TIME YEAR,START TIME MONTH,TRIP DURATION
0,2013,6,35.31428571428571
1,2013,7,20.08192771084337
2,2013,8,19.524515503875964
3,2013,9,18.001530612244895
4,2013,10,17.707193923145677
5,2013,11,16.4754593175853
6,2013,12,10.768493150684934
7,2014,1,9.448850574712644
8,2014,2,7.747222222222223
9,2014,3,12.082280701754387
10,2014,4,12.687939393939388
11,2014,5,13.754288649203906
12,2014,6,13.710326288468652
13,2014,7,13.74060449050085
14,2014,8,15.72729711602952
15,2014,9,14.887783505154625
16,2014,10,10.951244167962685
17,2014,11,9.542026748971198
18,2014,12,9.433443708609262
19,2015,1,8.927134986225893
20,2015,2,7.308888888888891
21,2015,3,11.835090361445785
22,2015,4,14.731042654028444
23,2015,5,15.234729403653901
24,2015,6,15.562001992031883
25,2015,7,14.805153422501949
26,2015,8,14.006536835748793
27,2015,9,14.480320648343882
28,2015,10,11.615181058495816
29,2015,11,9.556140350877191
30,2015,12,8.455292259083725
31,2016,1,7.949606299212598
32,2016,2,9.971766848816028
33,2016,3,11.838157894736838
34,2016,4,13.220312500000006
35,2016,5,14.060559610705594
36,2016,6,16.289250905040365
37,2016,7,13.811022012578611
38,2016,8,13.149691040164779
39,2016,9,11.555013093901993
40,2016,10,11.463756613756603
41,2016,11,9.372189349112423
42,2016,12,8.263793103448277
