,START TIME YEAR,START TIME MONTH,TRIP DURATION
0,2015,5,25.18858024691358
1,2015,6,17.966666666666658
2,2015,7,16.695220588235298
3,2015,8,15.813754045307444
4,2015,9,15.635955056179775
5,2015,10,14.578773584905653
6,2015,11,21.433333333333344
7,2015,12,10.967261904761903
8,2016,1,10.279729729729727
9,2016,2,11.178125
10,2016,3,11.160740740740739
11,2016,4,14.638888888888893
12,2016,5,13.941851851851851
13,2016,6,24.108846153846162
14,2016,7,16.88787878787878
15,2016,8,19.8089393939394
16,2016,9,18.69825396825396
17,2016,10,20.502966101694913
18,2016,11,15.893986254295536
19,2016,12,10.048333333333334
