,START TIME YEAR,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles
AGE_GROUP,,0 - 18,19 - 29,40 - 49
,,,,
0,2016,1.147381649718031,3.4771381698348556,3.6255450719067
