,START TIME YEAR,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles
AGE_GROUP,,0 - 18,19 - 29,30 - 39,40 - 49,50 - 65,65+
,,,,,,,
0,2013,0.5681609466083484,237.50405087321587,226.1834110742809,415.59347061405816,17.823339645546366,
1,2014,1.8770067512216173,1404.2928846163873,1208.6940854163101,1211.3349410744272,212.69190948117844,
2,2015,16.51764049731752,2079.850684085478,1378.2373152168245,1230.830037622615,396.60273012375364,4.847966060621914
3,2016,,1699.4705165341272,1803.717756403385,656.1038510969705,256.94828202625564,16.94067077694138
