,START TIME YEAR,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles
AGE_GROUP,,19 - 29,40 - 49,50 - 65
,,,,
0,2016,8.757945177260174,2.303324211205118,30.91449935804543
