,START TIME YEAR,START TIME MONTH,DISTANCE_Miles
0,2015,5,2.7593143846313213
1,2015,6,0.8006868189976983
2,2015,7,2.4895448222769043
3,2015,8,1.5273229245350692
4,2015,9,1.3303869551467102
5,2015,10,1.988319077177726
6,2015,11,0.9670748600682271
7,2015,12,0.8455992214908952
8,2016,2,0.8455992214908953
9,2016,5,1.6464130250398032
10,2016,6,4.348399002894463
11,2016,7,2.192099955083865
12,2016,8,0.6476108439805759
13,2016,9,0.8264709347621715
14,2016,10,0.8084884286947308
15,2016,11,0.8639443297331543
16,2016,12,0.42855734344455537
