,START TIME YEAR,START TIME MONTH,TRIP DURATION
0,2013,7,24.934146341463418
1,2013,8,21.804985549132947
2,2013,9,18.72091906721535
3,2013,10,16.5407671418873
4,2013,11,18.556160830090807
5,2013,12,12.456761006289305
6,2014,1,11.436858974358982
7,2014,2,8.880801687763714
8,2014,3,12.193902439024386
9,2014,4,14.543102522812685
10,2014,5,15.148699479791915
11,2014,6,16.27740549828181
12,2014,7,16.3809694555113
13,2014,8,14.887460191082807
14,2014,9,12.723081683168317
15,2014,10,10.129656332612356
16,2014,11,8.88604938271606
17,2014,12,6.859249713631151
18,2015,1,11.717063492063494
19,2015,2,9.224492753623187
20,2015,3,15.060022522522518
21,2015,4,12.676914563966365
22,2015,5,16.185768995098044
23,2015,6,17.491459235209255
24,2015,7,18.489470284237708
25,2015,8,17.3322232572582
26,2015,9,15.89019861830742
27,2015,10,14.200993710691836
28,2015,11,14.423589118960612
29,2015,12,11.555846422338558
30,2016,1,12.177293064876958
31,2016,2,14.282640201638316
32,2016,3,13.297790697674397
33,2016,4,16.906463169962734
34,2016,5,16.679383497421497
35,2016,6,17.094105594956666
36,2016,7,15.812668892068011
37,2016,8,16.8527734307077
38,2016,9,15.033290155440403
39,2016,10,15.636620404187969
40,2016,11,15.604070580013973
41,2016,12,12.568190212373045
