,START TIME YEAR,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles
AGE_GROUP,,0 - 18,19 - 29,30 - 39,40 - 49,50 - 65,65+
,,,,,,,
0,2013,9.362617204946078,1066.8505552809568,437.97339136629125,192.8199815367821,88.41799302871293,8.75435234258935
1,2014,19.528401622263655,3905.345271735256,1831.6828134141615,831.0823148356851,576.8614813114662,31.26803243750465
2,2015,71.00263683430352,4765.908775224251,2335.8367026843403,688.4210296397644,499.7369416114127,355.3136138994132
3,2016,13.179456241277817,5723.713181053348,2803.9359585994994,695.8166782447015,613.9217895251747,205.3308361777992
