,START TIME YEAR,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles
AGE_GROUP,,0 - 18,19 - 29,30 - 39,40 - 49,50 - 65,65+
,,,,,,,
0,2013,25.389479632108348,1343.4244833863472,2869.261369934188,1885.8832698291953,1506.9970500134034,72.50352245893245
1,2014,65.93694118121043,3831.0880776565846,6918.707608643366,4514.782192566907,4512.338205441987,37.54997613059778
2,2015,93.87495449855655,4734.656634586842,7384.399614361169,4657.492364281697,3781.0209654739647,40.922593813798414
3,2016,8.18240943998204,4591.739216515543,8185.562847069672,5453.085111062939,3315.718719977029,18.209890421258766
