,START TIME YEAR,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles
AGE_GROUP,,0 - 18,19 - 29,30 - 39,40 - 49,50 - 65,65+
,,,,,,,
0,2013,,54.40663441949115,121.91160982089222,9.66458709341022,5.699594054868399,
1,2014,,524.7006692323763,1560.43566859925,86.70711236443056,164.02058350814764,3.019130906707696
2,2015,6.33221467767603,1983.8624398385928,1559.9885316124887,263.2797130524774,125.4118371994667,6.251949919474031
3,2016,72.03650941138554,2453.678571269465,1787.3076807192767,182.861860845398,261.2527920599459,2.4156844573028757
